order_number,customer_email,shop_code,shipping_address_code,status,ordered_at,currency,subtotal,discount_total,tax_total,total
ORD000001,cust0163@example.com,SHOP007,ADDR0058A,paid,2025-02-05T15:58:36+00:00,GBP,4705.50,235.28,366.56,4836.78
ORD000002,cust0086@example.com,SHOP001,ADDR0119A,cancelled,2026-04-15T18:39:52+00:00,USD,8701.81,0.00,713.55,9415.36
ORD000003,cust0170@example.com,SHOP007,ADDR0122A,draft,2026-03-29T06:36:40+00:00,EUR,3412.56,0.00,279.83,3692.39
ORD000004,cust0037@example.com,SHOP006,ADDR0076B,paid,2025-11-16T10:15:34+00:00,EUR,2714.92,135.75,211.49,2790.66
ORD000005,cust0098@example.com,SHOP001,ADDR0133B,paid,2025-07-18T21:51:07+00:00,USD,8535.38,426.77,664.91,8773.52
ORD000006,cust0135@example.com,SHOP004,ADDR0087A,paid,2026-07-17T17:05:18+00:00,GBP,9952.84,497.64,775.33,10230.53
ORD000007,cust0103@example.com,SHOP005,ADDR0174A,shipped,2025-12-20T20:22:57+00:00,USD,13326.30,666.32,1038.12,13698.10
ORD000008,cust0027@example.com,SHOP007,ADDR0114A,draft,2025-09-12T17:34:02+00:00,EUR,2992.56,0.00,245.39,3237.95
ORD000009,cust0032@example.com,SHOP006,ADDR0100A,paid,2025-05-01T15:24:15+00:00,EUR,6411.66,320.58,499.47,6590.55
ORD000010,cust0125@example.com,SHOP003,ADDR0119A,cancelled,2025-03-03T08:58:27+00:00,USD,8720.88,0.00,715.11,9435.99
ORD000011,cust0077@example.com,SHOP001,ADDR0099A,paid,2025-05-26T02:14:36+00:00,GBP,847.17,42.36,65.99,870.80
ORD000012,cust0137@example.com,SHOP002,ADDR0040A,paid,2025-01-07T11:03:25+00:00,GBP,9449.34,472.47,736.10,9712.97
ORD000013,cust0137@example.com,SHOP005,ADDR0145A,paid,2026-05-13T07:40:34+00:00,GBP,8270.04,413.50,644.24,8500.78
ORD000014,cust0110@example.com,SHOP005,ADDR0176A,paid,2026-07-07T00:35:50+00:00,EUR,1732.52,86.63,134.96,1780.85
ORD000015,cust0088@example.com,SHOP002,ADDR0171B,paid,2025-01-17T17:30:55+00:00,EUR,7422.58,371.13,578.22,7629.67
ORD000016,cust0051@example.com,SHOP001,ADDR0133A,paid,2026-02-10T14:15:40+00:00,EUR,9206.44,460.32,717.18,9463.30
ORD000017,cust0132@example.com,SHOP006,ADDR0180A,paid,2025-03-08T04:51:27+00:00,USD,7275.69,363.78,566.78,7478.69
ORD000018,cust0047@example.com,SHOP002,ADDR0011A,shipped,2026-01-20T05:47:57+00:00,USD,1926.76,96.34,150.09,1980.51
ORD000019,cust0067@example.com,SHOP006,ADDR0083B,shipped,2026-05-28T08:19:09+00:00,USD,9872.22,493.61,769.05,10147.66
ORD000020,cust0084@example.com,SHOP005,ADDR0082A,paid,2026-02-19T04:27:43+00:00,EUR,1223.40,61.17,95.30,1257.53
ORD000021,cust0148@example.com,SHOP004,ADDR0124A,paid,2025-06-07T22:01:56+00:00,USD,1098.65,54.93,85.59,1129.31
ORD000022,cust0027@example.com,SHOP003,ADDR0113B,paid,2026-05-31T08:28:34+00:00,USD,5786.35,289.32,450.76,5947.79
ORD000023,cust0092@example.com,SHOP002,ADDR0145A,paid,2026-02-23T09:03:31+00:00,USD,4593.45,229.67,357.83,4721.61
ORD000024,cust0126@example.com,SHOP005,ADDR0168A,paid,2026-06-05T14:40:42+00:00,GBP,4686.23,234.31,365.06,4816.98
ORD000025,cust0058@example.com,SHOP003,ADDR0113B,shipped,2025-05-17T10:51:49+00:00,EUR,938.91,46.95,73.14,965.10
ORD000026,cust0166@example.com,SHOP003,ADDR0050A,paid,2025-05-26T11:59:09+00:00,EUR,7210.56,360.53,561.70,7411.73
ORD000027,cust0030@example.com,SHOP003,ADDR0136B,refunded,2026-07-01T02:32:09+00:00,EUR,5254.67,262.73,409.34,5401.28
ORD000028,cust0037@example.com,SHOP001,ADDR0129B,paid,2026-07-28T21:17:19+00:00,GBP,3899.17,194.96,303.75,4007.96
ORD000029,cust0129@example.com,SHOP007,ADDR0004B,paid,2025-05-11T02:45:50+00:00,EUR,8846.55,442.33,689.15,9093.37
ORD000030,cust0114@example.com,SHOP002,ADDR0075B,paid,2026-08-29T20:33:30+00:00,GBP,4781.40,239.07,372.47,4914.80
ORD000031,cust0096@example.com,SHOP005,ADDR0026A,paid,2025-10-29T14:26:50+00:00,EUR,8160.99,408.05,635.74,8388.68
ORD000032,cust0106@example.com,SHOP001,ADDR0039B,paid,2025-04-19T07:21:58+00:00,GBP,10739.17,536.96,836.58,11038.79
ORD000033,cust0165@example.com,SHOP003,ADDR0090B,shipped,2025-01-24T18:01:45+00:00,USD,3469.64,173.48,270.29,3566.45
ORD000034,cust0075@example.com,SHOP003,ADDR0175A,paid,2025-06-10T09:09:26+00:00,USD,8172.76,408.64,636.66,8400.78
ORD000035,cust0162@example.com,SHOP007,ADDR0052A,refunded,2026-01-12T16:29:07+00:00,EUR,1323.96,66.20,103.14,1360.90
ORD000036,cust0145@example.com,SHOP006,ADDR0084A,shipped,2025-03-25T16:37:12+00:00,GBP,5961.84,298.09,464.43,6128.18
ORD000037,cust0163@example.com,SHOP003,ADDR0130A,paid,2025-08-30T11:53:21+00:00,GBP,8808.15,440.41,686.15,9053.89
ORD000038,cust0090@example.com,SHOP005,ADDR0072B,refunded,2026-01-07T05:52:32+00:00,USD,5908.19,295.41,460.25,6073.03
ORD000039,cust0166@example.com,SHOP002,ADDR0069A,paid,2025-11-24T05:47:58+00:00,EUR,4587.45,229.37,357.36,4715.44
ORD000040,cust0008@example.com,SHOP004,ADDR0076A,paid,2025-07-23T05:38:00+00:00,GBP,11689.81,584.49,910.64,12015.96
ORD000041,cust0001@example.com,SHOP004,ADDR0145A,shipped,2026-08-26T18:49:08+00:00,USD,450.85,22.54,35.12,463.43
ORD000042,cust0052@example.com,SHOP007,ADDR0110B,paid,2026-04-03T19:16:18+00:00,USD,5414.93,270.75,421.82,5566.00
ORD000043,cust0036@example.com,SHOP007,ADDR0119A,paid,2026-06-09T00:03:14+00:00,GBP,4951.76,247.59,385.74,5089.91
ORD000044,cust0148@example.com,SHOP003,ADDR0050A,shipped,2025-03-09T14:49:34+00:00,USD,2642.36,132.12,205.84,2716.08
ORD000045,cust0106@example.com,SHOP007,ADDR0108A,paid,2025-04-26T02:44:51+00:00,GBP,5568.52,278.43,433.79,5723.88
ORD000046,cust0065@example.com,SHOP006,ADDR0002B,paid,2026-04-05T23:29:46+00:00,USD,15.52,0.78,1.21,15.95
ORD000047,cust0030@example.com,SHOP002,ADDR0142A,paid,2025-04-15T11:25:20+00:00,GBP,9135.30,456.76,711.64,9390.18
ORD000048,cust0053@example.com,SHOP001,ADDR0116B,shipped,2025-06-01T19:51:40+00:00,USD,3787.05,189.35,295.01,3892.71
ORD000049,cust0176@example.com,SHOP006,ADDR0057B,paid,2025-05-09T04:05:22+00:00,USD,18615.61,930.78,1450.16,19134.99
ORD000050,cust0156@example.com,SHOP001,ADDR0129A,paid,2026-03-10T12:40:37+00:00,GBP,383.35,19.17,29.86,394.04
ORD000051,cust0004@example.com,SHOP001,ADDR0152B,shipped,2025-05-28T17:48:16+00:00,GBP,7128.56,356.43,555.31,7327.44
ORD000052,cust0170@example.com,SHOP004,ADDR0009A,cancelled,2025-02-05T08:57:41+00:00,EUR,3923.72,0.00,321.75,4245.47
ORD000053,cust0139@example.com,SHOP003,ADDR0090B,paid,2026-07-13T16:07:43+00:00,GBP,1393.79,69.69,108.58,1432.68
ORD000054,cust0094@example.com,SHOP002,ADDR0015A,paid,2026-08-29T23:25:56+00:00,EUR,561.84,28.09,43.77,577.52
ORD000055,cust0038@example.com,SHOP004,ADDR0123A,paid,2025-06-25T23:59:37+00:00,GBP,7593.74,379.69,591.55,7805.60
ORD000056,cust0120@example.com,SHOP002,ADDR0174A,paid,2025-10-07T09:15:16+00:00,EUR,9433.33,471.67,734.86,9696.52
ORD000057,cust0162@example.com,SHOP005,ADDR0150A,paid,2025-05-27T08:04:05+00:00,USD,10171.78,508.59,792.38,10455.57
ORD000058,cust0074@example.com,SHOP003,ADDR0171A,draft,2025-06-30T04:15:20+00:00,USD,5138.39,0.00,421.35,5559.74
ORD000059,cust0025@example.com,SHOP004,ADDR0154A,paid,2026-03-26T15:37:45+00:00,GBP,3441.44,172.07,268.09,3537.46
ORD000060,cust0067@example.com,SHOP006,ADDR0076A,paid,2025-08-24T16:55:10+00:00,EUR,5482.56,274.13,427.09,5635.52
ORD000061,cust0150@example.com,SHOP005,ADDR0121A,shipped,2025-12-04T09:17:50+00:00,GBP,4180.46,209.02,325.66,4297.10
ORD000062,cust0034@example.com,SHOP003,ADDR0019B,paid,2026-05-19T21:05:34+00:00,EUR,3255.03,162.75,253.57,3345.85
ORD000063,cust0046@example.com,SHOP005,ADDR0156A,shipped,2026-01-15T11:31:33+00:00,EUR,8812.87,440.64,686.52,9058.75
ORD000064,cust0030@example.com,SHOP002,ADDR0155A,paid,2026-02-24T11:51:34+00:00,GBP,3011.69,150.58,234.61,3095.72
ORD000065,cust0090@example.com,SHOP005,ADDR0042B,cancelled,2025-08-29T05:25:26+00:00,USD,2064.91,0.00,169.32,2234.23
ORD000066,cust0128@example.com,SHOP004,ADDR0179A,paid,2025-12-12T09:13:23+00:00,USD,12979.26,648.96,1011.08,13341.38
ORD000067,cust0018@example.com,SHOP004,ADDR0035A,cancelled,2025-10-16T14:25:37+00:00,EUR,2346.92,0.00,192.45,2539.37
ORD000068,cust0124@example.com,SHOP005,ADDR0068A,paid,2025-12-13T15:19:29+00:00,EUR,5373.14,268.66,418.57,5523.05
ORD000069,cust0029@example.com,SHOP001,ADDR0072B,paid,2026-05-06T04:52:05+00:00,GBP,298.02,14.90,23.22,306.34
ORD000070,cust0032@example.com,SHOP002,ADDR0070A,paid,2025-10-18T23:13:51+00:00,GBP,11766.86,588.34,916.64,12095.16
ORD000071,cust0021@example.com,SHOP001,ADDR0101A,shipped,2026-06-16T20:54:13+00:00,EUR,3367.19,168.36,262.30,3461.13
ORD000072,cust0144@example.com,SHOP005,ADDR0023A,shipped,2025-12-18T06:45:01+00:00,USD,3229.26,161.46,251.56,3319.36
ORD000073,cust0092@example.com,SHOP006,ADDR0138A,paid,2025-10-13T03:02:49+00:00,EUR,6522.79,326.14,508.13,6704.78
ORD000074,cust0012@example.com,SHOP001,ADDR0120A,refunded,2025-06-03T17:00:51+00:00,USD,4403.39,220.17,343.02,4526.24
ORD000075,cust0120@example.com,SHOP004,ADDR0138A,refunded,2025-12-10T22:48:38+00:00,GBP,2504.09,125.20,195.07,2573.96
ORD000076,cust0009@example.com,SHOP002,ADDR0004B,paid,2025-11-30T10:23:02+00:00,GBP,5506.54,275.33,428.96,5660.17
ORD000077,cust0065@example.com,SHOP006,ADDR0179A,paid,2025-10-23T22:02:28+00:00,GBP,5083.01,254.15,395.97,5224.83
ORD000078,cust0006@example.com,SHOP006,ADDR0170A,paid,2025-05-12T06:09:00+00:00,USD,5146.60,257.33,400.92,5290.19
ORD000079,cust0091@example.com,SHOP005,ADDR0008A,paid,2025-07-03T00:21:36+00:00,GBP,6985.05,349.25,544.14,7179.94
ORD000080,cust0129@example.com,SHOP007,ADDR0084A,paid,2025-04-15T22:16:14+00:00,EUR,2723.46,136.17,212.16,2799.45
ORD000081,cust0062@example.com,SHOP004,ADDR0082B,paid,2026-03-06T17:24:17+00:00,EUR,1171.83,58.59,91.29,1204.53
ORD000082,cust0025@example.com,SHOP001,ADDR0023A,paid,2025-11-24T10:00:37+00:00,GBP,6469.82,323.49,504.00,6650.33
ORD000083,cust0097@example.com,SHOP002,ADDR0033A,shipped,2026-06-21T18:43:45+00:00,GBP,2502.08,125.10,194.91,2571.89
ORD000084,cust0058@example.com,SHOP003,ADDR0011B,paid,2026-01-14T19:18:39+00:00,USD,10916.89,545.84,850.43,11221.48
ORD000085,cust0117@example.com,SHOP002,ADDR0151A,paid,2025-03-01T00:35:23+00:00,EUR,222.51,11.13,17.33,228.71
ORD000086,cust0177@example.com,SHOP002,ADDR0043A,paid,2025-09-28T23:44:29+00:00,USD,4754.24,237.71,370.36,4886.89
ORD000087,cust0010@example.com,SHOP001,ADDR0096A,paid,2025-08-04T12:54:47+00:00,USD,5087.59,254.38,396.32,5229.53
ORD000088,cust0074@example.com,SHOP005,ADDR0096A,cancelled,2026-08-10T20:40:12+00:00,EUR,7610.41,0.00,624.05,8234.46
ORD000089,cust0119@example.com,SHOP003,ADDR0048B,paid,2026-06-24T22:02:28+00:00,EUR,5837.35,291.87,454.73,6000.21
ORD000090,cust0129@example.com,SHOP004,ADDR0085B,paid,2026-04-03T15:51:01+00:00,GBP,6685.50,334.28,520.80,6872.02
ORD000091,cust0063@example.com,SHOP006,ADDR0088A,shipped,2025-07-03T03:46:59+00:00,EUR,2845.65,142.28,221.68,2925.05
ORD000092,cust0008@example.com,SHOP003,ADDR0043A,paid,2026-02-21T06:53:51+00:00,USD,417.71,20.89,32.54,429.36
ORD000093,cust0128@example.com,SHOP007,ADDR0075A,cancelled,2026-08-07T07:41:00+00:00,EUR,9070.78,0.00,743.80,9814.58
